"layer","layerFrequency","trait","weight","occurrence","percentage","occurrenceSummary"
"Background","100%","Aquamarine","100",97,"9.60%","97 in 1010 editions (9.60 %)"
"Background","100%","Dark Blue","100",97,"9.60%","97 in 1010 editions (9.60 %)"
"Background","100%","Dark Pink","100",107,"10.59%","107 in 1010 editions (10.59 %)"
"Background","100%","Dark Purple","100",95,"9.41%","95 in 1010 editions (9.41 %)"
"Background","100%","Green","100",109,"10.79%","109 in 1010 editions (10.79 %)"
"Background","100%","Light Blue","100",101,"10.00%","101 in 1010 editions (10.00 %)"
"Background","100%","Light Pink","100",88,"8.71%","88 in 1010 editions (8.71 %)"
"Background","100%","Light Purple","100",107,"10.59%","107 in 1010 editions (10.59 %)"
"Background","100%","Orange","100",108,"10.69%","108 in 1010 editions (10.69 %)"
"Background","100%","Yellow","100",101,"10.00%","101 in 1010 editions (10.00 %)"
"Body","100%","Aquamarine","100",103,"10.20%","103 in 1010 editions (10.20 %)"
"Body","100%","Dark Blue","100",107,"10.59%","107 in 1010 editions (10.59 %)"
"Body","100%","Dark Pink","100",94,"9.31%","94 in 1010 editions (9.31 %)"
"Body","100%","Dark Purple","100",112,"11.09%","112 in 1010 editions (11.09 %)"
"Body","100%","Green","100",104,"10.30%","104 in 1010 editions (10.30 %)"
"Body","100%","Light Blue","100",93,"9.21%","93 in 1010 editions (9.21 %)"
"Body","100%","Light Pink","100",100,"9.90%","100 in 1010 editions (9.90 %)"
"Body","100%","Light Purple","100",98,"9.70%","98 in 1010 editions (9.70 %)"
"Body","100%","Orange","100",101,"10.00%","101 in 1010 editions (10.00 %)"
"Body","100%","Yellow","100",98,"9.70%","98 in 1010 editions (9.70 %)"
"Body","100%","Aquamarine","100",103,"10.20%","103 in 1010 editions (10.20 %)"
"Body","100%","Dark Blue","100",107,"10.59%","107 in 1010 editions (10.59 %)"
"Body","100%","Dark Pink","100",94,"9.31%","94 in 1010 editions (9.31 %)"
"Body","100%","Dark Purple","100",112,"11.09%","112 in 1010 editions (11.09 %)"
"Body","100%","Green","100",104,"10.30%","104 in 1010 editions (10.30 %)"
"Body","100%","Light Blue","100",93,"9.21%","93 in 1010 editions (9.21 %)"
"Body","100%","Light Pink","100",100,"9.90%","100 in 1010 editions (9.90 %)"
"Body","100%","Light Purple","100",98,"9.70%","98 in 1010 editions (9.70 %)"
"Body","100%","Orange","100",101,"10.00%","101 in 1010 editions (10.00 %)"
"Body","100%","Yellow","100",98,"9.70%","98 in 1010 editions (9.70 %)"
"Face","100%","Calm","100",123,"12.18%","123 in 1010 editions (12.18 %)"
"Face","100%","Chuckle","100",116,"11.49%","116 in 1010 editions (11.49 %)"
"Face","100%","Happy","100",109,"10.79%","109 in 1010 editions (10.79 %)"
"Face","100%","Joyful","100",108,"10.69%","108 in 1010 editions (10.69 %)"
"Face","100%","Love","100",107,"10.59%","107 in 1010 editions (10.59 %)"
"Face","100%","Moustache","100",100,"9.90%","100 in 1010 editions (9.90 %)"
"Face","100%","Normal","100",104,"10.30%","104 in 1010 editions (10.30 %)"
"Face","100%","Smiling","100",131,"12.97%","131 in 1010 editions (12.97 %)"
"Face","100%","Winking","100",112,"11.09%","112 in 1010 editions (11.09 %)"
"Legs","50%","Bans Shoes","100",63,"6.24%","63 in 1010 editions (6.24 %)"
"Legs","50%","Black Boots","100",64,"6.34%","64 in 1010 editions (6.34 %)"
"Legs","50%","Casted Leg","100",66,"6.53%","66 in 1010 editions (6.53 %)"
"Legs","50%","Cosy Sandals","100",72,"7.13%","72 in 1010 editions (7.13 %)"
"Legs","50%","Hipster Shoes","100",71,"7.03%","71 in 1010 editions (7.03 %)"
"Legs","50%","Home Espadrilles","100",59,"5.84%","59 in 1010 editions (5.84 %)"
"Legs","50%","Old Stars Shoes","100",52,"5.15%","52 in 1010 editions (5.15 %)"
"Legs","50%","Retro Roller Skate","100",58,"5.74%","58 in 1010 editions (5.74 %)"
"Legs","","----TRAIT ABSENT----",0,505,"50.00%","505 in 1010 editions (50.00 %)"
"Wear","50%","Basketballer","100",74,"7.33%","74 in 1010 editions (7.33 %)"
"Wear","50%","Blue Jeans","100",45,"4.46%","45 in 1010 editions (4.46 %)"
"Wear","50%","Caveman Costume","100",47,"4.65%","47 in 1010 editions (4.65 %)"
"Wear","50%","Fancy Dress","100",42,"4.16%","42 in 1010 editions (4.16 %)"
"Wear","50%","Farmer Costume","100",48,"4.75%","48 in 1010 editions (4.75 %)"
"Wear","50%","Green Dress","100",64,"6.34%","64 in 1010 editions (6.34 %)"
"Wear","50%","Magician Dress","100",60,"5.94%","60 in 1010 editions (5.94 %)"
"Wear","50%","Peace Necklace","100",65,"6.44%","65 in 1010 editions (6.44 %)"
"Wear","50%","Yellow Costume","100",45,"4.46%","45 in 1010 editions (4.46 %)"
"Wear","","----TRAIT ABSENT----",0,520,"51.49%","520 in 1010 editions (51.49 %)"
"Object","50%","Beer Jar","100",48,"4.75%","48 in 1010 editions (4.75 %)"
"Object","50%","Caveman Club","100",39,"3.86%","39 in 1010 editions (3.86 %)"
"Object","50%","Flower","100",52,"5.15%","52 in 1010 editions (5.15 %)"
"Object","50%","Hammer","100",44,"4.36%","44 in 1010 editions (4.36 %)"
"Object","50%","Hand Fan","100",50,"4.95%","50 in 1010 editions (4.95 %)"
"Object","50%","Lollipop","100",54,"5.35%","54 in 1010 editions (5.35 %)"
"Object","50%","Magic Wand","100",36,"3.56%","36 in 1010 editions (3.56 %)"
"Object","50%","Rainbow Parchment","100",36,"3.56%","36 in 1010 editions (3.56 %)"
"Object","50%","Spider","100",44,"4.36%","44 in 1010 editions (4.36 %)"
"Object","50%","Witch Broomstick","100",46,"4.55%","46 in 1010 editions (4.55 %)"
"Object","","----TRAIT ABSENT----",0,561,"55.54%","561 in 1010 editions (55.54 %)"
"Accessory","15%","Blue Goggles","100",21,"2.08%","21 in 1010 editions (2.08 %)"
"Accessory","15%","Headphones","100",20,"1.98%","20 in 1010 editions (1.98 %)"
